danceability_x,energy_x,key,loudness_x,mode,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,duration_ms,time_signature_x,chorus_hit_x,sections_x,target_x,track_seconds_x,m_index,danceability_y,energy_y,loudness_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,chorus_hit_y,sections_y,track_seconds_y,row_num,target_y,y_pred,y_pred_prob
0.485,0.779,G,-14.235,major,0.039,0.367,0.432,0.18,0.483,133.223,129293,4,63.91615,8,1,129.293,75,0.485,0.779,-14.235,0.039,0.367,0.432,0.18,0.483,133.223,4,63.91615,8,129.293,5167,1,1.0,0.8063107074620715
0.638,0.428,A,-12.156,minor,0.0687,0.252,0.0,0.132,0.901,139.434,112800,4,21.22195,6,1,112.8,76,0.638,0.428,-12.156,0.0687,0.252,0.0,0.132,0.901,139.434,4,21.22195,6,112.8,5115,1,0.0,0.28736767619147796
0.622,0.644,D# / Eb,-7.484,major,0.0367,0.586,0.0,0.0594,0.666,139.166,173653,4,20.97044,10,1,173.653,78,0.622,0.644,-7.484,0.0367,0.586,0.0,0.0594,0.666,139.166,4,20.97044,10,173.653,4104,1,0.0,0.04036904885333943
0.614,0.151,C# / Db,-13.432,major,0.866,0.636,0.0,0.507,0.463,63.642,1109787,4,57.97933,50,0,1109.787,79,0.614,0.151,-13.432,0.866,0.636,0.0,0.507,0.463,63.642,4,57.97933,50,1109.787,1677,0,1.0,0.7993387431538275
0.775,0.688,D# / Eb,-12.959,major,0.0699,0.224,0.0411,0.117,0.93,94.143,158508,4,42.2136,8,1,158.508,86,0.775,0.688,-12.959,0.0699,0.224,0.0411,0.117,0.93,94.143,4,42.2136,8,158.508,3935,1,1.0,0.7428859271652094
0.677,0.661,E,-5.136,major,0.0436,0.114,5.44e-06,0.215,0.801,98.309,152693,4,37.60629,7,1,152.693,92,0.677,0.661,-5.136,0.0436,0.114,5.44e-06,0.215,0.801,98.309,4,37.60629,7,152.693,1388,1,0.0,0.07445241195867591
0.205,0.398,F,-12.075,major,0.0322,0.163,6.48e-05,0.0542,0.0376,108.381,621267,4,57.37844,25,0,621.267,102,0.205,0.398,-12.075,0.0322,0.163,6.48e-05,0.0542,0.0376,108.381,4,57.37844,25,621.267,6728,0,0.0,0.6213076188572807
0.563,0.447,C,-15.218,major,0.0323,0.81,0.00484,0.186,0.743,127.384,213000,4,25.19069,12,0,213.0,104,0.563,0.447,-15.218,0.0323,0.81,0.00484,0.186,0.743,127.384,4,25.19069,12,213.0,4241,0,1.0,0.7303448703036648
0.519,0.38,A# / Bb,-22.881,minor,0.0378,0.384,0.889,0.0659,0.72,112.145,579467,4,41.12642,29,0,579.467,109,0.519,0.38,-22.881,0.0378,0.384,0.889,0.0659,0.72,112.145,4,41.12642,29,579.467,4773,0,0.0,0.4010026741547758
0.7,0.626,D# / Eb,-11.611,major,0.0315,0.72,6.55e-05,0.0974,0.964,112.826,148640,4,29.03452,9,1,148.64,121,0.7,0.626,-11.611,0.0315,0.72,6.55e-05,0.0974,0.964,112.826,4,29.03452,9,148.64,7244,1,0.0,0.4619764500548305
0.748,0.788,D,-11.284,major,0.067,0.135,3.81e-06,0.501,0.626,130.506,162333,4,19.26742,10,1,162.333,123,0.748,0.788,-11.284,0.067,0.135,3.81e-06,0.501,0.626,130.506,4,19.26742,10,162.333,1776,1,1.0,0.8257644707691957
0.549,0.289,C,-16.129,major,0.0486,0.761,0.0,0.0694,0.45,111.828,164440,4,32.25757,8,0,164.44,124,0.549,0.289,-16.129,0.0486,0.761,0.0,0.0694,0.45,111.828,4,32.25757,8,164.44,3589,0,0.0,0.4779849506990846
0.579,0.554,F,-8.896,major,0.0286,0.084,0.0,0.219,0.491,124.067,177867,4,32.6183,8,1,177.867,127,0.579,0.554,-8.896,0.0286,0.084,0.0,0.219,0.491,124.067,4,32.6183,8,177.867,7569,1,1.0,0.8002160042453712
0.637,0.916,G,-6.95,major,0.0458,0.0139,2.27e-05,0.21,0.506,114.987,247173,4,43.50466,8,1,247.173,129,0.637,0.916,-6.95,0.0458,0.0139,2.27e-05,0.21,0.506,114.987,4,43.50466,8,247.173,2501,1,0.0,0.5064830768091871
0.394,0.18,A,-15.943,major,0.0355,0.965,0.00826,0.118,0.475,107.516,173773,4,21.89732,12,0,173.773,143,0.394,0.18,-15.943,0.0355,0.965,0.00826,0.118,0.475,107.516,4,21.89732,12,173.773,5479,0,0.0,0.4041731696232454
0.522,0.0902,C,-22.234,major,0.0279,0.691,0.448,0.116,0.288,95.872,142107,5,38.47753,7,0,142.107,155,0.522,0.0902,-22.234,0.0279,0.691,0.448,0.116,0.288,95.872,5,38.47753,7,142.107,6396,0,0.0,0.22740048396122908
0.181,0.294,F,-15.448,major,0.0395,0.987,0.0085,0.113,0.0577,101.506,186160,4,74.69106,10,0,186.16,159,0.181,0.294,-15.448,0.0395,0.987,0.0085,0.113,0.0577,101.506,4,74.69106,10,186.16,8103,0,0.0,0.3635302837823057
0.638,0.622,C# / Db,-10.035,minor,0.0265,0.809,0.00385,0.0416,0.871,130.354,146400,4,21.2237,9,1,146.4,160,0.638,0.622,-10.035,0.0265,0.809,0.00385,0.0416,0.871,130.354,4,21.2237,9,146.4,4621,1,0.0,0.370966711917351
0.193,0.2,F,-14.117,minor,0.0422,0.967,0.211,0.258,0.0387,139.318,157627,4,56.49552,7,0,157.627,165,0.193,0.2,-14.117,0.0422,0.967,0.211,0.258,0.0387,139.318,4,56.49552,7,157.627,5338,0,0.0,0.007883474340638224
0.321,0.0227,G# / Ab,-22.698,major,0.0349,0.953,0.0,0.313,0.312,83.319,155733,4,23.66008,8,1,155.733,166,0.321,0.0227,-22.698,0.0349,0.953,0.0,0.313,0.312,83.319,4,23.66008,8,155.733,251,1,1.0,0.847236679861312
0.192,0.197,C# / Db,-14.803,minor,0.0347,0.9,0.194,0.31,0.0368,113.336,283573,4,59.41796,16,0,283.573,179,0.192,0.197,-14.803,0.0347,0.9,0.194,0.31,0.0368,113.336,4,59.41796,16,283.573,7737,0,1.0,0.7075219001657362
0.519,0.45,F,-9.133,major,0.0244,0.281,6.12e-06,0.152,0.549,72.115,143161,4,61.24355,6,1,143.161,182,0.519,0.45,-9.133,0.0244,0.281,6.12e-06,0.152,0.549,72.115,4,61.24355,6,143.161,259,1,0.0,0.006666393939125428
0.428,0.432,G# / Ab,-11.58,major,0.0288,0.575,0.00933,0.0888,0.808,135.142,211862,4,33.76803,11,1,211.862,184,0.428,0.432,-11.58,0.0288,0.575,0.00933,0.0888,0.808,135.142,4,33.76803,11,211.862,7899,1,0.0,0.43131269607944633
0.546,0.156,D,-18.601,major,0.0617,0.942,8.83e-06,0.226,0.466,80.106,154667,4,55.32668,8,0,154.667,192,0.546,0.156,-18.601,0.0617,0.942,8.83e-06,0.226,0.466,80.106,4,55.32668,8,154.667,683,0,1.0,0.6868287543253713
0.599,0.648,A# / Bb,-10.893,major,0.0301,0.456,0.0,0.336,0.806,105.316,143173,4,28.97965,8,1,143.173,193,0.599,0.648,-10.893,0.0301,0.456,0.0,0.336,0.806,105.316,4,28.97965,8,143.173,4007,1,0.0,0.036372141286163166
0.595,0.471,C# / Db,-10.626,minor,0.0295,0.0156,0.127,0.173,0.707,95.417,207613,4,32.21417,10,1,207.613,199,0.595,0.471,-10.626,0.0295,0.0156,0.127,0.173,0.707,95.417,4,32.21417,10,207.613,4141,1,0.0,0.5277914791294308
0.555,0.723,G,-11.875,major,0.0536,0.683,0.0,0.115,0.925,169.864,129000,4,34.37603,7,1,129.0,201,0.555,0.723,-11.875,0.0536,0.683,0.0,0.115,0.925,169.864,4,34.37603,7,129.0,5598,1,0.0,0.47859157760715776
0.441,0.596,D,-6.327,minor,0.0281,0.037,4.46e-06,0.172,0.497,83.411,177440,4,34.8822,9,1,177.44,204,0.441,0.596,-6.327,0.0281,0.037,4.46e-06,0.172,0.497,83.411,4,34.8822,9,177.44,4438,1,0.0,0.5907001185529446
0.459,0.61,A,-8.231,major,0.133,0.764,2.91e-06,0.11,0.865,202.036,257960,4,32.63404,12,0,257.96,207,0.459,0.61,-8.231,0.133,0.764,2.91e-06,0.11,0.865,202.036,4,32.63404,12,257.96,2607,0,0.0,0.5525978232589186
0.805,0.473,A# / Bb,-12.999,major,0.0507,0.24,0.00516,0.177,0.519,124.618,201200,4,23.14466,14,1,201.2,211,0.805,0.473,-12.999,0.0507,0.24,0.00516,0.177,0.519,124.618,4,23.14466,14,201.2,6569,1,1.0,0.7513762562023102
0.201,0.178,A,-16.461,minor,0.0334,0.916,0.906,0.0565,0.0519,80.312,343973,4,53.46055,17,0,343.973,217,0.201,0.178,-16.461,0.0334,0.916,0.906,0.0565,0.0519,80.312,4,53.46055,17,343.973,5934,0,0.0,0.655184158788531
0.649,0.208,F,-19.217,major,0.532,0.825,0.0,0.0823,0.483,103.691,123373,5,38.8458,6,1,123.373,220,0.649,0.208,-19.217,0.532,0.825,0.0,0.0823,0.483,103.691,5,38.8458,6,123.373,1071,1,0.0,0.09167029322463152
0.63,0.525,D,-11.154,major,0.0269,0.156,2.09e-05,0.369,0.931,89.738,146133,4,30.7508,10,0,146.133,231,0.63,0.525,-11.154,0.0269,0.156,2.09e-05,0.369,0.931,89.738,4,30.7508,10,146.133,6180,0,1.0,0.7625916330051639
0.292,0.273,G,-22.677,major,0.0535,0.659,0.618,0.177,0.0383,67.354,145747,3,63.69562,4,0,145.747,232,0.292,0.273,-22.677,0.0535,0.659,0.618,0.177,0.0383,67.354,3,63.69562,4,145.747,3932,0,0.0,0.030906214127623777
0.376,0.456,E,-8.367,major,0.0357,0.644,0.0,0.215,0.512,80.843,109333,4,40.02393,7,1,109.333,238,0.376,0.456,-8.367,0.0357,0.644,0.0,0.215,0.512,80.843,4,40.02393,7,109.333,3279,1,0.0,0.19542518525927613
0.421,0.149,F,-11.599,major,0.0352,0.874,0.0,0.0971,0.486,89.917,139400,4,34.46684,7,0,139.4,250,0.421,0.149,-11.599,0.0352,0.874,0.0,0.0971,0.486,89.917,4,34.46684,7,139.4,4759,0,0.0,0.6340054253249291
0.326,0.457,E,-8.162,minor,0.0287,0.555,2.05e-06,0.389,0.378,89.877,148213,4,35.07673,9,0,148.213,253,0.326,0.457,-8.162,0.0287,0.555,2.05e-06,0.389,0.378,89.877,4,35.07673,9,148.213,4050,0,0.0,0.5597641113137367
0.563,0.754,F# / Gb,-7.442,major,0.0676,0.531,0.0,0.379,0.918,156.664,119960,4,36.87763,8,1,119.96,254,0.563,0.754,-7.442,0.0676,0.531,0.0,0.379,0.918,156.664,4,36.87763,8,119.96,42,1,1.0,0.681862196445866
0.222,0.459,F# / Gb,-6.538,major,0.0308,0.951,0.000162,0.322,0.236,178.879,165627,3,41.47399,7,1,165.627,264,0.222,0.459,-6.538,0.0308,0.951,0.000162,0.322,0.236,178.879,3,41.47399,7,165.627,7768,1,0.0,0.03959333690746423
0.38,0.286,A# / Bb,-13.694,minor,0.029,0.671,0.0,0.106,0.426,103.722,202160,4,29.33468,12,0,202.16,266,0.38,0.286,-13.694,0.029,0.671,0.0,0.106,0.426,103.722,4,29.33468,12,202.16,869,0,0.0,0.2716083037584826
0.553,0.677,E,-10.831,minor,0.0712,0.423,0.962,0.185,0.768,153.174,153973,4,36.52598,6,1,153.973,268,0.553,0.677,-10.831,0.0712,0.423,0.962,0.185,0.768,153.174,4,36.52598,6,153.973,421,1,0.0,0.3291783765248325
0.432,0.712,C,-7.655,minor,0.0839,0.502,0.0096,0.0679,0.685,126.236,187098,4,23.78493,8,0,187.098,273,0.432,0.712,-7.655,0.0839,0.502,0.0096,0.0679,0.685,126.236,4,23.78493,8,187.098,4514,0,1.0,0.846714933950006
0.377,0.126,C,-20.972,major,0.0469,0.943,2.28e-05,0.272,0.223,59.856,159240,3,57.11172,8,0,159.24,276,0.377,0.126,-20.972,0.0469,0.943,2.28e-05,0.272,0.223,59.856,3,57.11172,8,159.24,2279,0,0.0,0.39246050406479155
0.335,0.185,G,-19.82,major,0.325,0.964,6.15e-06,0.269,0.0905,62.37,130533,3,65.09429,5,0,130.533,284,0.335,0.185,-19.82,0.325,0.964,6.15e-06,0.269,0.0905,62.37,3,65.09429,5,130.533,7481,0,1.0,0.8258356691892641
0.71,0.567,E,-9.394,minor,0.0399,0.481,3.34e-06,0.0784,0.749,149.319,127293,4,38.99697,6,1,127.293,288,0.71,0.567,-9.394,0.0399,0.481,3.34e-06,0.0784,0.749,149.319,4,38.99697,6,127.293,7264,1,1.0,0.86923975376653
0.204,0.139,B,-20.115,major,0.0485,0.895,0.391,0.179,0.0767,121.076,158599,5,58.06087,8,0,158.599,289,0.204,0.139,-20.115,0.0485,0.895,0.391,0.179,0.0767,121.076,5,58.06087,8,158.599,5670,0,0.0,0.2937916193532563
0.598,0.472,C,-12.547,major,0.0427,0.626,0.0,0.0383,0.72,110.785,127572,4,27.39321,7,0,127.572,296,0.598,0.472,-12.547,0.0427,0.626,0.0,0.0383,0.72,110.785,4,27.39321,7,127.572,3501,0,1.0,0.8140905956179711
0.607,0.67,C,-8.887,major,0.0448,0.0102,0.0,0.076,0.907,127.101,111733,4,36.8496,6,1,111.733,305,0.607,0.67,-8.887,0.0448,0.0102,0.0,0.076,0.907,127.101,4,36.8496,6,111.733,1992,1,0.0,0.63456338921224
0.423,0.0312,A# / Bb,-31.131,major,0.0318,0.969,0.487,0.111,0.294,88.895,131440,4,45.04741,6,0,131.44,306,0.423,0.0312,-31.131,0.0318,0.969,0.487,0.111,0.294,88.895,4,45.04741,6,131.44,1464,0,1.0,0.7600685899623588
0.766,0.176,D# / Eb,-20.756,minor,0.0945,0.605,2.31e-05,0.0656,0.687,90.404,163373,4,39.08141,8,1,163.373,310,0.766,0.176,-20.756,0.0945,0.605,2.31e-05,0.0656,0.687,90.404,4,39.08141,8,163.373,3455,1,0.0,0.3410748971949877
0.401,0.223,C,-16.15,major,0.0831,0.972,8.71e-06,0.14,0.298,90.601,371067,4,41.94412,16,0,371.067,311,0.401,0.223,-16.15,0.0831,0.972,8.71e-06,0.14,0.298,90.601,4,41.94412,16,371.067,7143,0,0.0,0.0901596702088624
0.734,0.458,A# / Bb,-9.193,major,0.0585,0.844,0.00015,0.354,0.9,140.2,175240,4,32.86039,11,0,175.24,312,0.734,0.458,-9.193,0.0585,0.844,0.00015,0.354,0.9,140.2,4,32.86039,11,175.24,4617,0,0.0,0.3844951496650724
0.531,0.671,G,-10.819,minor,0.0488,0.794,0.508,0.136,0.249,86.153,193359,4,76.87267,6,0,193.359,313,0.531,0.671,-10.819,0.0488,0.794,0.508,0.136,0.249,86.153,4,76.87267,6,193.359,3403,0,1.0,0.7619087320143676
0.418,0.366,C,-14.939,major,0.0374,0.121,0.0,0.328,0.378,113.603,133267,3,30.26275,6,0,133.267,318,0.418,0.366,-14.939,0.0374,0.121,0.0,0.328,0.378,113.603,3,30.26275,6,133.267,6919,0,1.0,0.6705714327377227
0.743,0.08,C# / Db,-22.528,major,0.902,0.814,7.89e-05,0.181,0.513,79.339,191440,1,37.44281,10,0,191.44,319,0.743,0.08,-22.528,0.902,0.814,7.89e-05,0.181,0.513,79.339,1,37.44281,10,191.44,2176,0,0.0,0.17188453578746812
0.361,0.28,G,-13.422,major,0.0294,0.821,0.435,0.144,0.213,82.298,160173,3,38.22192,8,1,160.173,321,0.361,0.28,-13.422,0.0294,0.821,0.435,0.144,0.213,82.298,3,38.22192,8,160.173,2227,1,1.0,0.7136362086001793
0.715,0.542,A# / Bb,-11.467,major,0.033,0.609,1.74e-06,0.21,0.865,114.864,243293,4,35.01789,11,1,243.293,324,0.715,0.542,-11.467,0.033,0.609,1.74e-06,0.21,0.865,114.864,4,35.01789,11,243.293,4638,1,0.0,0.2934842191609623
0.435,0.315,F,-11.066,major,0.0397,0.742,0.0,0.111,0.242,71.1,205800,4,51.9084,7,0,205.8,340,0.435,0.315,-11.066,0.0397,0.742,0.0,0.111,0.242,71.1,4,51.9084,7,205.8,5949,0,1.0,0.7762980882504913
0.802,0.407,F# / Gb,-10.857,major,0.0309,0.00727,0.00147,0.0626,0.821,104.058,176693,4,34.01089,8,1,176.693,346,0.802,0.407,-10.857,0.0309,0.00727,0.00147,0.0626,0.821,104.058,4,34.01089,8,176.693,6204,1,1.0,0.7575168768434256
0.187,0.425,A,-8.776,major,0.0312,0.962,0.000823,0.211,0.226,74.407,141493,1,53.75417,5,1,141.493,349,0.187,0.425,-8.776,0.0312,0.962,0.000823,0.211,0.226,74.407,1,53.75417,5,141.493,6545,1,0.0,0.29095762992446395
0.66,0.642,F,-7.109,major,0.0407,0.139,0.0,0.0652,0.943,174.249,131133,4,43.49126,6,1,131.133,353,0.66,0.642,-7.109,0.0407,0.139,0.0,0.0652,0.943,174.249,4,43.49126,6,131.133,2642,1,0.0,0.5184271867592813
0.429,0.732,C# / Db,-7.34,major,0.0302,0.749,1.51e-06,0.0831,0.779,167.383,144093,4,47.21751,10,1,144.093,359,0.429,0.732,-7.34,0.0302,0.749,1.51e-06,0.0831,0.779,167.383,4,47.21751,10,144.093,4585,1,0.0,0.5982156875345872
0.245,0.229,G,-4.989,major,0.0286,0.995,0.0736,0.123,0.252,90.589,246973,4,38.64846,9,0,246.973,365,0.245,0.229,-4.989,0.0286,0.995,0.0736,0.123,0.252,90.589,4,38.64846,9,246.973,839,0,0.0,0.6567979193152874
0.424,0.0514,D,-28.456,minor,0.0474,0.758,0.0028,0.11,0.0749,123.267,252920,4,61.61164,10,0,252.92,366,0.424,0.0514,-28.456,0.0474,0.758,0.0028,0.11,0.0749,123.267,4,61.61164,10,252.92,5999,0,1.0,0.7594241421316721
0.356,0.408,D,-9.189,minor,0.0325,0.113,0.621,0.12,0.0344,124.861,263400,4,150.17626,8,0,263.4,369,0.356,0.408,-9.189,0.0325,0.113,0.621,0.12,0.0344,124.861,4,150.17626,8,263.4,2481,0,1.0,0.6757308097095226
0.492,0.553,A,-8.6,major,0.0397,0.406,0.000105,0.163,0.431,125.936,167200,4,41.83671,7,0,167.2,372,0.492,0.553,-8.6,0.0397,0.406,0.000105,0.163,0.431,125.936,4,41.83671,7,167.2,3428,0,0.0,0.13098504299863545
0.297,0.323,C,-13.847,major,0.0395,0.925,0.9,0.313,0.278,141.199,189893,3,31.46519,11,0,189.893,373,0.297,0.323,-13.847,0.0395,0.925,0.9,0.313,0.278,141.199,3,31.46519,11,189.893,3007,0,0.0,0.06258676841387942
0.851,0.435,C,-15.29,major,0.201,0.0309,0.814,0.085,0.842,134.811,214427,4,25.6108,14,0,214.427,375,0.851,0.435,-15.29,0.201,0.0309,0.814,0.085,0.842,134.811,4,25.6108,14,214.427,4945,0,1.0,0.7604528216035698
0.626,0.51,D# / Eb,-9.285,major,0.37,0.208,0.0,0.0713,0.837,114.091,143093,4,61.85882,7,1,143.093,377,0.626,0.51,-9.285,0.37,0.208,0.0,0.0713,0.837,114.091,4,61.85882,7,143.093,701,1,1.0,0.6673502135769687
0.148,0.0889,A,-20.646,minor,0.0342,0.892,0.925,0.109,0.0525,80.05,261293,4,61.64189,10,0,261.293,378,0.148,0.0889,-20.646,0.0342,0.892,0.925,0.109,0.0525,80.05,4,61.64189,10,261.293,1603,0,0.0,0.5083694983904002
0.589,0.411,G,-11.1,minor,0.0277,0.779,0.0,0.28,0.499,96.242,132800,3,68.79302,5,1,132.8,379,0.589,0.411,-11.1,0.0277,0.779,0.0,0.28,0.499,96.242,3,68.79302,5,132.8,6062,1,0.0,0.02553032681061794
0.494,0.445,D# / Eb,-6.574,major,0.0252,0.472,0.0,0.094,0.4,79.416,213995,4,14.17801,11,0,213.995,384,0.494,0.445,-6.574,0.0252,0.472,0.0,0.094,0.4,79.416,4,14.17801,11,213.995,7854,0,0.0,0.4633840644178332
0.315,0.0765,G,-23.794,minor,0.0408,0.878,0.849,0.11,0.166,114.812,124787,4,44.29578,7,0,124.787,387,0.315,0.0765,-23.794,0.0408,0.878,0.849,0.11,0.166,114.812,4,44.29578,7,124.787,5502,0,0.0,0.01381198192102126
0.157,0.249,F,-12.711,major,0.0368,0.974,0.00299,0.139,0.0395,87.254,480693,3,31.53387,21,0,480.693,392,0.157,0.249,-12.711,0.0368,0.974,0.00299,0.139,0.0395,87.254,3,31.53387,21,480.693,6646,0,1.0,0.8453220182584109
0.687,0.0509,G,-19.173,major,0.527,0.79,0.0,0.18,0.255,75.577,219311,3,27.66784,10,0,219.311,393,0.687,0.0509,-19.173,0.527,0.79,0.0,0.18,0.255,75.577,3,27.66784,10,219.311,4815,0,1.0,0.7202448482752367
0.213,0.292,F,-14.296,minor,0.0322,0.883,3.09e-05,0.165,0.205,70.167,319364,4,58.2739,14,0,319.364,394,0.213,0.292,-14.296,0.0322,0.883,3.09e-05,0.165,0.205,70.167,4,58.2739,14,319.364,7637,0,0.0,0.43134002456547027
0.317,0.23,A,-12.902,minor,0.0316,0.146,0.0,0.158,0.199,75.32,198733,4,39.17834,9,0,198.733,395,0.317,0.23,-12.902,0.0316,0.146,0.0,0.158,0.199,75.32,4,39.17834,9,198.733,7551,0,0.0,0.5144244585722121
0.527,0.433,F,-9.94,major,0.0282,0.501,0.0,0.149,0.71,81.984,174493,4,25.05852,10,1,174.493,399,0.527,0.433,-9.94,0.0282,0.501,0.0,0.149,0.71,81.984,4,25.05852,10,174.493,3874,1,0.0,0.1442500614586368
0.404,0.543,G# / Ab,-17.131,major,0.0813,0.059,0.249,0.183,0.593,87.867,433267,4,33.02786,17,0,433.267,401,0.404,0.543,-17.131,0.0813,0.059,0.249,0.183,0.593,87.867,4,33.02786,17,433.267,1914,0,1.0,0.8112337786096366
0.693,0.577,G,-6.657,major,0.0407,0.505,0.000397,0.101,0.87,122.869,274751,4,40.86194,10,0,274.751,404,0.693,0.577,-6.657,0.0407,0.505,0.000397,0.101,0.87,122.869,4,40.86194,10,274.751,1015,0,0.0,0.5832322455929816
0.389,0.286,F# / Gb,-8.916,major,0.0312,0.812,0.0,0.106,0.566,83.811,152160,3,38.76032,10,0,152.16,412,0.389,0.286,-8.916,0.0312,0.812,0.0,0.106,0.566,83.811,3,38.76032,10,152.16,4786,0,0.0,0.0569090797419318
0.671,0.625,G,-4.893,major,0.0278,0.287,0.0,0.0514,0.961,97.163,153213,4,61.08925,6,0,153.213,416,0.671,0.625,-4.893,0.0278,0.287,0.0,0.0514,0.961,97.163,4,61.08925,6,153.213,4254,0,0.0,0.2240696842878995
0.41,0.566,F# / Gb,-11.073,minor,0.0443,0.0967,0.0,0.263,0.669,142.037,148800,4,38.26931,9,1,148.8,417,0.41,0.566,-11.073,0.0443,0.0967,0.0,0.263,0.669,142.037,4,38.26931,9,148.8,1598,1,0.0,0.0784905816467746
0.318,0.383,A,-11.943,minor,0.0337,0.738,0.0013,0.176,0.632,127.699,160813,3,23.27613,10,1,160.813,432,0.318,0.383,-11.943,0.0337,0.738,0.0013,0.176,0.632,127.699,3,23.27613,10,160.813,177,1,1.0,0.7459265234868502
0.65,0.535,E,-10.462,major,0.0334,0.112,1.91e-05,0.186,0.423,130.644,164733,4,35.58736,7,0,164.733,434,0.65,0.535,-10.462,0.0334,0.112,1.91e-05,0.186,0.423,130.644,4,35.58736,7,164.733,975,0,0.0,0.3780958488818981
0.56,0.753,C,-9.195,major,0.0678,0.734,0.000119,0.383,0.947,152.633,144173,4,30.65092,7,1,144.173,436,0.56,0.753,-9.195,0.0678,0.734,0.000119,0.383,0.947,152.633,4,30.65092,7,144.173,4736,1,1.0,0.7597407152750437
0.752,0.471,G# / Ab,-11.308,major,0.0758,0.402,0.0,0.155,0.94,110.226,123333,4,39.66865,6,1,123.333,444,0.752,0.471,-11.308,0.0758,0.402,0.0,0.155,0.94,110.226,4,39.66865,6,123.333,2104,1,0.0,0.4102874063699834
0.38,0.557,D,-8.958,major,0.0361,0.653,0.0,0.504,0.847,155.648,133027,4,31.84387,9,1,133.027,452,0.38,0.557,-8.958,0.0361,0.653,0.0,0.504,0.847,155.648,4,31.84387,9,133.027,561,1,0.0,0.6275909630852553
0.256,0.122,G# / Ab,-18.97,major,0.0721,0.971,0.00026,0.724,0.039,79.571,613000,4,78.1079,23,0,613.0,453,0.256,0.122,-18.97,0.0721,0.971,0.00026,0.724,0.039,79.571,4,78.1079,23,613.0,5625,0,0.0,0.4738512654827529
0.487,0.226,B,-19.129,minor,0.25,0.504,0.00316,0.153,0.185,101.867,955067,4,22.19985,39,0,955.067,455,0.487,0.226,-19.129,0.25,0.504,0.00316,0.153,0.185,101.867,4,22.19985,39,955.067,2426,0,0.0,0.39089988957650745
